,codigo,nao,sob,br,teor,portal,ww,jus,http,autenticacao,autenticardocumento,asp,senha,pagina,inteiro,penal,pela,i,direito,estado,min,contra,pelo,ap,moraes,alexandre,crimes,pessoas,dia,democratico,denuncia,vogal,ii,crime,violencia,p,n,criminosa,atos,palacio_do_planalto,todos,associacao,ja,lei,foram,publico,republica,mesmo,acao,rd,poderes,grupo,pratica,patrimonio,forma,m,unico,denunciado,ameaca,bem,paragrafo,ainda,caso,assim,geral,grave,manifestantes,l,congresso_nacional,corte,relacao,nq,iv,exercicio,condutas,reu,abolicao,pena,policia,golpe,competencia,foro,ministerio,inq,outros,sentido,meio,prerrogativa,alem,violenta,presente,conforme,fatos,poder,tem,qualquer,r,governo,dano,quanto,parte,emprego,prejuizo,uniao,fim,momento,eett,denunciados,fato,juizo,esta,conduta,defesa,existencia,pelos,silva,militar,circunstancias,rel,sendo,sido,invasao,paulo,praca_dos_tres_poderes,autoria,razao,termos,nesse,portanto,causa,delito,sem,objetivo,seguranca,inclusive,concurso,julgamento,constitucionais,lucia,acusado,c,delitos,demais,seja,participacao,dias,investigados,deve,acoes,anos
pessoas,11919.0,10117.0,7901.0,6984.0,6837.0,6923.0,7069.0,6940.0,7086.0,6781.0,6741.0,6709.0,6655.0,6813.0,6730.0,7212.0,6079.0,5888.0,4900.0,5877.0,3423.0,7858.0,5994.0,3786.0,3141.0,3137.0,6764.0,30911.0,7138.0,4275.0,3347.0,2682.0,3063.0,3984.0,4600.0,1918.0,3660.0,5471.0,4510.0,3976.0,5327.0,5531.0,2920.0,3478.0,3833.0,2387.0,2169.0,4194.0,1083.0,2394.0,2549.0,3904.0,3794.0,3902.0,3551.0,2077.0,3148.0,3046.0,3944.0,1555.0,3083.0,2871.0,3176.0,1980.0,2026.0,3960.0,2548.0,2192.0,2562.0,853.0,2619.0,1694.0,2053.0,1664.0,1108.0,1276.0,2539.0,1923.0,3451.0,2676.0,1414.0,1499.0,1423.0,733.0,2313.0,778.0,3314.0,1215.0,2348.0,3414.0,1285.0,1714.0,1453.0,1225.0,2262.0,1983.0,536.0,1321.0,2371.0,1267.0,1098.0,2720.0,2266.0,2834.0,3070.0,1831.0,1530.0,2289.0,2199.0,880.0,1526.0,1217.0,793.0,1748.0,1416.0,1724.0,2449.0,1893.0,460.0,1831.0,2111.0,908.0,1449.0,2986.0,900.0,447.0,768.0,1386.0,1846.0,373.0,1307.0,1250.0,2302.0,801.0,1378.0,7477.0,524.0,1153.0,1412.0,851.0,1165.0,1849.0,925.0,979.0,2290.0,534.0,1539.0,1105.0,1437.0,998.0
dia,12544.0,8151.0,8393.0,8306.0,8119.0,8126.0,8281.0,8212.0,8351.0,8041.0,7997.0,7959.0,7871.0,7990.0,7969.0,6534.0,5182.0,3318.0,4775.0,5690.0,5107.0,5525.0,6089.0,4446.0,5362.0,5349.0,5206.0,7138.0,30645.0,4136.0,3547.0,1745.0,1599.0,2376.0,4011.0,2697.0,4744.0,3807.0,8244.0,3108.0,3165.0,4517.0,3530.0,2391.0,3830.0,2586.0,2362.0,4957.0,2206.0,1881.0,4125.0,5723.0,3472.0,3524.0,2228.0,1728.0,2529.0,5417.0,2377.0,1678.0,2462.0,3608.0,2316.0,2018.0,1576.0,2404.0,2019.0,1890.0,3397.0,1127.0,920.0,1177.0,1487.0,1626.0,1223.0,2746.0,2344.0,2195.0,3215.0,2337.0,749.0,404.0,1344.0,888.0,1074.0,830.0,3845.0,410.0,2450.0,2487.0,1423.0,2673.0,3143.0,3141.0,1349.0,1204.0,1099.0,1813.0,1320.0,964.0,689.0,1872.0,1224.0,1410.0,1777.0,1228.0,2393.0,1427.0,676.0,853.0,1255.0,507.0,1176.0,1408.0,1463.0,1662.0,2481.0,977.0,142.0,1421.0,831.0,2447.0,1741.0,4071.0,1195.0,1467.0,962.0,1067.0,935.0,1245.0,507.0,1099.0,1523.0,1505.0,1338.0,964.0,1012.0,1503.0,2592.0,541.0,1423.0,1352.0,1451.0,1090.0,2063.0,2935.0,609.0,1008.0,1238.0,1501.0
democratico,12961.0,7873.0,6112.0,6327.0,5967.0,6112.0,6320.0,6245.0,6401.0,6054.0,6007.0,5964.0,5865.0,5903.0,5870.0,10138.0,8331.0,6460.0,27261.0,27988.0,4027.0,9124.0,3386.0,3585.0,3934.0,3870.0,8958.0,4275.0,4136.0,29973.0,3644.0,2005.0,7762.0,5246.0,10617.0,2597.0,2798.0,8323.0,3093.0,3191.0,4965.0,7259.0,1432.0,4421.0,782.0,3059.0,4125.0,2267.0,2342.0,1970.0,9339.0,2299.0,6400.0,5245.0,3184.0,7611.0,5850.0,3069.0,9922.0,3516.0,5819.0,1266.0,1810.0,1960.0,2157.0,8947.0,960.0,9689.0,3427.0,2117.0,1177.0,1553.0,5430.0,6350.0,4347.0,2175.0,14633.0,2187.0,1043.0,9783.0,737.0,1145.0,1556.0,1895.0,1791.0,1890.0,3431.0,1163.0,1555.0,12160.0,1313.0,1949.0,835.0,2765.0,1056.0,1994.0,497.0,5428.0,4923.0,1879.0,1164.0,6235.0,2767.0,3565.0,1310.0,540.0,844.0,998.0,749.0,773.0,1360.0,1527.0,1092.0,867.0,1792.0,1872.0,1845.0,652.0,1089.0,330.0,308.0,1143.0,766.0,2931.0,1070.0,1833.0,586.0,1013.0,1618.0,844.0,1529.0,1528.0,3594.0,617.0,1170.0,1264.0,381.0,5577.0,217.0,1182.0,658.0,2175.0,1171.0,1064.0,1587.0,1093.0,1080.0,1125.0,708.0,1911.0
denuncia,13496.0,10480.0,7256.0,7002.0,7119.0,6914.0,7104.0,7058.0,7182.0,6863.0,6826.0,6796.0,6747.0,6845.0,6777.0,14238.0,7528.0,6694.0,5741.0,4720.0,5541.0,5628.0,6954.0,3243.0,4572.0,4579.0,7229.0,3347.0,3547.0,3644.0,28703.0,2462.0,5604.0,3986.0,1813.0,3014.0,3062.0,4357.0,3162.0,1394.0,4959.0,3238.0,2519.0,4226.0,1641.0,5876.0,3495.0,1939.0,6924.0,2553.0,1580.0,962.0,3269.0,2904.0,2537.0,3703.0,5013.0,2173.0,1758.0,1671.0,4948.0,2283.0,2382.0,1872.0,3284.0,1466.0,177.0,3593.0,1498.0,4731.0,3791.0,2029.0,3432.0,3023.0,5917.0,1073.0,2214.0,850.0,533.0,1892.0,3242.0,3125.0,5166.0,2723.0,360.0,1707.0,2243.0,3037.0,1616.0,2195.0,4210.0,1989.0,2175.0,1058.0,522.0,1136.0,1433.0,374.0,2147.0,1143.0,1024.0,980.0,2232.0,2354.0,1474.0,1980.0,1498.0,1769.0,2588.0,1870.0,1666.0,2570.0,3645.0,4134.0,1290.0,2121.0,378.0,1951.0,2944.0,1688.0,1002.0,952.0,563.0,333.0,3952.0,1701.0,2333.0,1545.0,1998.0,4269.0,1322.0,1807.0,461.0,181.0,1020.0,1966.0,1828.0,729.0,614.0,3255.0,2309.0,1289.0,491.0,2024.0,1365.0,530.0,2544.0,2299.0,1139.0,558.0
vogal,26181.0,9553.0,25400.0,22630.0,26536.0,23178.0,21544.0,22066.0,20980.0,23698.0,24242.0,24787.0,26555.0,25974.0,27068.0,6681.0,3850.0,12766.0,3092.0,3587.0,1292.0,3326.0,3048.0,12732.0,959.0,934.0,3411.0,2682.0,1745.0,2005.0,2462.0,28415.0,2774.0,2442.0,1850.0,2622.0,2071.0,2330.0,1800.0,2061.0,1965.0,1746.0,2392.0,2546.0,2130.0,1710.0,2824.0,1961.0,1481.0,12380.0,1523.0,706.0,1546.0,1339.0,2379.0,2499.0,2043.0,1272.0,1433.0,1994.0,1891.0,2238.0,2185.0,2636.0,2436.0,1395.0,2236.0,1850.0,1411.0,2523.0,2555.0,9774.0,1295.0,1257.0,1289.0,1735.0,914.0,1781.0,1485.0,1046.0,2795.0,2891.0,1010.0,2227.0,1941.0,1649.0,1115.0,2845.0,1168.0,685.0,1394.0,1092.0,1683.0,971.0,1287.0,1545.0,3486.0,988.0,788.0,1760.0,1765.0,958.0,767.0,865.0,1243.0,1452.0,45.0,1725.0,1547.0,1504.0,769.0,1122.0,732.0,989.0,874.0,788.0,848.0,920.0,993.0,799.0,1272.0,911.0,886.0,927.0,730.0,1197.0,1406.0,1016.0,866.0,1190.0,1290.0,1145.0,891.0,1024.0,821.0,913.0,2120.0,699.0,49.0,846.0,1200.0,1313.0,891.0,791.0,557.0,786.0,1352.0,820.0,1095.0,937.0
ii,15994.0,7811.0,6930.0,6543.0,6318.0,6475.0,6666.0,6597.0,6741.0,6415.0,6364.0,6318.0,6200.0,6223.0,6137.0,14743.0,8701.0,17185.0,9017.0,9741.0,3318.0,8357.0,3839.0,2721.0,3113.0,3145.0,6845.0,3063.0,1599.0,7762.0,5604.0,2774.0,27509.0,6159.0,5471.0,3238.0,5100.0,4570.0,1360.0,1539.0,6500.0,4223.0,933.0,9180.0,1125.0,3111.0,1780.0,2477.0,3602.0,1889.0,1243.0,809.0,3172.0,6607.0,1679.0,8215.0,10640.0,1002.0,6194.0,1612.0,10472.0,1465.0,2907.0,1344.0,1815.0,5144.0,204.0,7338.0,1288.0,2613.0,3574.0,1544.0,12899.0,1577.0,2643.0,2317.0,4682.0,4212.0,613.0,5287.0,1873.0,1557.0,2224.0,2081.0,1192.0,1060.0,1292.0,1159.0,1378.0,4760.0,1900.0,815.0,1672.0,632.0,1322.0,2911.0,1644.0,765.0,6886.0,1361.0,1641.0,3433.0,4875.0,5129.0,1692.0,1240.0,1094.0,1320.0,2150.0,1058.0,681.0,1180.0,787.0,1881.0,1190.0,1488.0,142.0,1759.0,1219.0,1474.0,1633.0,160.0,752.0,913.0,2048.0,2150.0,2360.0,451.0,886.0,3467.0,1562.0,921.0,1095.0,278.0,1340.0,2760.0,644.0,1056.0,328.0,1790.0,2598.0,1493.0,509.0,658.0,790.0,1270.0,998.0,1458.0,192.0,2097.0
crime,13209.0,11047.0,7426.0,6066.0,6095.0,5991.0,6098.0,6042.0,6124.0,5971.0,5957.0,5947.0,5961.0,6246.0,6014.0,12797.0,6208.0,6094.0,8010.0,7916.0,5269.0,4705.0,4015.0,3926.0,3439.0,3448.0,6611.0,3984.0,2376.0,5246.0,3986.0,2442.0,6159.0,26957.0,5072.0,3136.0,2672.0,6791.0,3345.0,1598.0,2550.0,5898.0,1013.0,4158.0,963.0,4321.0,1385.0,4353.0,1976.0,2171.0,2544.0,1352.0,5130.0,3638.0,1968.0,3899.0,5169.0,944.0,5486.0,1813.0,5189.0,2038.0,3192.0,2227.0,1468.0,4850.0,1410.0,4590.0,1111.0,2225.0,2707.0,1600.0,2052.0,2888.0,2067.0,2493.0,3843.0,5409.0,593.0,3511.0,1083.0,196.0,2747.0,1470.0,1048.0,1676.0,2761.0,192.0,1584.0,3116.0,1596.0,1153.0,1853.0,976.0,1649.0,2273.0,318.0,1978.0,4183.0,1581.0,2567.0,2923.0,1715.0,2036.0,2282.0,801.0,1015.0,1072.0,3593.0,1143.0,1999.0,3255.0,1551.0,2679.0,931.0,1364.0,518.0,3371.0,2940.0,1963.0,1375.0,802.0,1741.0,1931.0,3653.0,1307.0,623.0,1270.0,1672.0,1681.0,2382.0,1349.0,1708.0,430.0,1759.0,2461.0,872.0,1657.0,618.0,2414.0,667.0,1023.0,1536.0,932.0,1539.0,1122.0,37.0,1458.0,407.0,1965.0
violencia,12128.0,6065.0,5934.0,5881.0,5561.0,5748.0,5804.0,5743.0,5872.0,5601.0,5566.0,5536.0,5479.0,5561.0,5525.0,8863.0,7938.0,6609.0,11045.0,13602.0,3137.0,10422.0,2935.0,3941.0,3087.0,3073.0,4324.0,4600.0,4011.0,10617.0,1813.0,1850.0,5471.0,5072.0,26618.0,1761.0,2590.0,4447.0,3160.0,5426.0,3690.0,3337.0,1783.0,4967.0,2696.0,2875.0,2947.0,3307.0,1466.0,1681.0,7367.0,3523.0,3016.0,8667.0,2122.0,5182.0,5777.0,2703.0,16789.0,3675.0,5636.0,1266.0,2693.0,1806.0,929.0,16475.0,2683.0,4748.0,4268.0,571.0,723.0,1094.0,4775.0,5468.0,2178.0,2115.0,6204.0,3515.0,1826.0,6252.0,159.0,60.0,1108.0,276.0,1804.0,674.0,5261.0,66.0,3386.0,5411.0,944.0,1184.0,987.0,1507.0,1463.0,808.0,345.0,6627.0,6080.0,1944.0,1602.0,11479.0,6765.0,7467.0,1759.0,1322.0,743.0,948.0,1543.0,750.0,658.0,1972.0,671.0,192.0,1491.0,789.0,1694.0,995.0,217.0,157.0,972.0,2537.0,1211.0,3726.0,1078.0,527.0,393.0,566.0,713.0,433.0,1643.0,1087.0,2194.0,1864.0,688.0,1958.0,286.0,3937.0,220.0,490.0,812.0,1035.0,1003.0,1293.0,781.0,696.0,4.0,294.0,856.0,2732.0
p,16074.0,6486.0,14238.0,12830.0,15908.0,12941.0,12222.0,12418.0,11912.0,13205.0,13471.0,13737.0,14554.0,16195.0,15621.0,7808.0,2817.0,4625.0,4784.0,4597.0,11657.0,3028.0,3186.0,1499.0,11077.0,10861.0,3373.0,1918.0,2697.0,2597.0,3014.0,2622.0,3238.0,3136.0,1761.0,26609.0,5287.0,2039.0,2754.0,560.0,1873.0,2774.0,1598.0,2193.0,1140.0,2072.0,1461.0,1613.0,1573.0,795.0,1254.0,2276.0,1350.0,1024.0,1505.0,5771.0,1586.0,1822.0,1663.0,1211.0,1481.0,1196.0,1153.0,1817.0,3314.0,1414.0,703.0,2951.0,817.0,1128.0,719.0,499.0,1202.0,693.0,1086.0,456.0,1420.0,775.0,944.0,1439.0,1178.0,437.0,1896.0,1200.0,436.0,1219.0,1855.0,389.0,1239.0,1227.0,1829.0,1212.0,563.0,1873.0,1189.0,1404.0,5599.0,778.0,949.0,412.0,1363.0,581.0,530.0,735.0,872.0,904.0,11771.0,1557.0,999.0,631.0,1148.0,1222.0,777.0,802.0,649.0,887.0,464.0,699.0,2103.0,587.0,465.0,254.0,3959.0,573.0,950.0,443.0,687.0,1186.0,960.0,1280.0,1310.0,644.0,601.0,193.0,789.0,333.0,578.0,423.0,2377.0,573.0,2429.0,759.0,626.0,915.0,957.0,1173.0,459.0,1439.0,936.0,1102.0
n,9912.0,5239.0,6823.0,6802.0,6851.0,6402.0,6451.0,6420.0,6487.0,6364.0,6358.0,6358.0,6386.0,6832.0,6471.0,6349.0,5903.0,6831.0,3582.0,3440.0,3846.0,4049.0,4382.0,2128.0,4099.0,3959.0,4324.0,3660.0,4744.0,2798.0,3062.0,2071.0,5100.0,2672.0,2590.0,5287.0,25784.0,2775.0,4786.0,874.0,3104.0,4050.0,1492.0,7666.0,2603.0,1988.0,986.0,1756.0,1856.0,1539.0,923.0,3373.0,2532.0,3669.0,1657.0,4824.0,4152.0,3728.0,2692.0,1913.0,4031.0,2611.0,1669.0,1972.0,2173.0,2063.0,626.0,3656.0,1288.0,1155.0,2068.0,904.0,3962.0,654.0,1051.0,1113.0,1851.0,1651.0,2341.0,1570.0,1460.0,1705.0,1105.0,1790.0,807.0,732.0,1378.0,1554.0,2504.0,1733.0,1562.0,2824.0,1305.0,1111.0,1177.0,1265.0,2791.0,574.0,2743.0,636.0,961.0,1112.0,2156.0,2133.0,1314.0,815.0,2932.0,2105.0,473.0,508.0,1085.0,1172.0,594.0,366.0,1154.0,989.0,694.0,426.0,776.0,970.0,967.0,903.0,2221.0,746.0,701.0,990.0,1322.0,1180.0,1180.0,628.0,720.0,971.0,867.0,526.0,1080.0,1047.0,712.0,175.0,3566.0,557.0,1986.0,384.0,866.0,855.0,2087.0,1420.0,1040.0,997.0,1123.0,887.0
criminosa,11107.0,7496.0,6319.0,5557.0,5534.0,5344.0,5641.0,5404.0,5494.0,5324.0,5309.0,5301.0,5317.0,5639.0,5391.0,9469.0,7872.0,6356.0,9205.0,9291.0,3264.0,5123.0,4978.0,3293.0,3097.0,3075.0,8294.0,5471.0,3807.0,8323.0,4357.0,2330.0,4570.0,6791.0,4447.0,2039.0,2775.0,25459.0,3706.0,2961.0,4636.0,17985.0,1496.0,3444.0,497.0,2906.0,1468.0,1867.0,2461.0,2019.0,3086.0,3654.0,7680.0,4188.0,2293.0,5932.0,7584.0,4018.0,4681.0,1165.0,7572.0,1751.0,1386.0,1289.0,1779.0,3765.0,549.0,6198.0,2821.0,1530.0,2089.0,1521.0,3092.0,1831.0,3877.0,2738.0,6800.0,2808.0,544.0,6048.0,629.0,928.0,1760.0,1493.0,1852.0,747.0,1401.0,841.0,1917.0,6722.0,1172.0,1523.0,977.0,1783.0,1791.0,377.0,602.0,1734.0,4265.0,1608.0,1830.0,2672.0,2530.0,2325.0,2389.0,763.0,946.0,1618.0,948.0,470.0,1894.0,1263.0,1112.0,1507.0,2078.0,1296.0,774.0,984.0,969.0,656.0,749.0,1047.0,941.0,1535.0,1415.0,1570.0,589.0,613.0,1546.0,961.0,3141.0,612.0,1965.0,232.0,1318.0,3143.0,238.0,1615.0,299.0,1307.0,517.0,2303.0,2429.0,651.0,1761.0,1266.0,210.0,925.0,1014.0,1189.0
atos,8485.0,6729.0,6635.0,6586.0,6337.0,5983.0,6002.0,5965.0,6033.0,5923.0,5921.0,5922.0,5958.0,6145.0,6074.0,4350.0,4360.0,2809.0,3976.0,5418.0,3821.0,4623.0,5400.0,3160.0,4182.0,4055.0,4686.0,4510.0,8244.0,3093.0,3162.0,1800.0,1360.0,3345.0,3160.0,2754.0,4786.0,3706.0,25376.0,4543.0,4116.0,4085.0,2484.0,1546.0,2701.0,3302.0,2721.0,1934.0,2788.0,2088.0,2508.0,4635.0,5375.0,3713.0,2590.0,1839.0,1226.0,2817.0,2201.0,1814.0,1043.0,2118.0,2496.0,2087.0,2189.0,1160.0,1698.0,1849.0,3932.0,2456.0,1639.0,1371.0,596.0,1176.0,2013.0,1112.0,1960.0,153.0,2253.0,2324.0,1574.0,1195.0,1077.0,2630.0,1992.0,899.0,2933.0,1235.0,2342.0,1980.0,1934.0,2541.0,802.0,1023.0,1941.0,1097.0,679.0,1423.0,1707.0,1460.0,1053.0,789.0,1150.0,1199.0,676.0,1198.0,1778.0,2533.0,969.0,576.0,1021.0,835.0,747.0,1530.0,913.0,1009.0,1428.0,967.0,589.0,1684.0,909.0,3660.0,694.0,2179.0,931.0,842.0,644.0,999.0,1511.0,1209.0,740.0,858.0,1718.0,1353.0,3206.0,837.0,965.0,557.0,1168.0,410.0,412.0,794.0,1321.0,751.0,1969.0,1580.0,1198.0,562.0,2148.0,172.0
palacio_do_planalto,6721.0,5882.0,5754.0,5397.0,5539.0,5373.0,5433.0,5382.0,5455.0,5325.0,5317.0,5313.0,5333.0,5439.0,5381.0,2035.0,4887.0,2381.0,3318.0,4096.0,2550.0,4694.0,4009.0,4291.0,2485.0,2473.0,3083.0,3976.0,3108.0,3191.0,1394.0,2061.0,1539.0,1598.0,5426.0,560.0,874.0,2961.0,4543.0,24109.0,3347.0,1827.0,3916.0,750.0,5120.0,3344.0,2643.0,2170.0,1417.0,1556.0,2962.0,4252.0,2087.0,4305.0,1529.0,1066.0,881.0,3268.0,3478.0,1308.0,886.0,1807.0,928.0,791.0,1246.0,2448.0,6116.0,1188.0,9158.0,955.0,1295.0,1137.0,1036.0,1404.0,1489.0,2414.0,2064.0,171.0,3909.0,1147.0,172.0,625.0,650.0,1006.0,3938.0,1085.0,1613.0,644.0,1875.0,2219.0,1567.0,1055.0,1022.0,1552.0,1363.0,198.0,769.0,3221.0,1707.0,2057.0,1259.0,2544.0,2314.0,2032.0,1616.0,2769.0,460.0,1408.0,462.0,1465.0,1550.0,374.0,853.0,817.0,1745.0,1882.0,2909.0,828.0,224.0,1521.0,1638.0,4667.0,155.0,4279.0,786.0,1510.0,352.0,556.0,425.0,118.0,992.0,495.0,1578.0,2885.0,1437.0,163.0,422.0,943.0,42.0,659.0,241.0,1016.0,609.0,263.0,619.0,357.0,618.0,140.0,933.0,303.0
todos,12595.0,7441.0,6269.0,5916.0,5607.0,5640.0,5855.0,5752.0,5882.0,5594.0,5553.0,5519.0,5455.0,5544.0,5468.0,10122.0,5683.0,7544.0,6582.0,5785.0,3580.0,5397.0,4844.0,2650.0,3460.0,3506.0,5397.0,5327.0,3165.0,4965.0,4959.0,1965.0,6500.0,2550.0,3690.0,1873.0,3104.0,4636.0,4116.0,3347.0,23478.0,3920.0,2021.0,6151.0,2057.0,2704.0,1104.0,1522.0,2847.0,1849.0,2053.0,1649.0,2435.0,3552.0,3007.0,4713.0,5929.0,2581.0,3257.0,2034.0,5560.0,2047.0,946.0,1689.0,983.0,2967.0,1491.0,4375.0,1844.0,1786.0,1945.0,1579.0,5104.0,1614.0,2492.0,975.0,2506.0,1326.0,1521.0,2882.0,1423.0,442.0,1995.0,1205.0,1683.0,1233.0,1253.0,352.0,1240.0,2966.0,1175.0,1227.0,2141.0,951.0,814.0,1452.0,594.0,585.0,3464.0,1468.0,1339.0,2597.0,2918.0,2603.0,1716.0,1298.0,1083.0,2043.0,1091.0,435.0,1732.0,1053.0,1510.0,965.0,1486.0,1627.0,897.0,774.0,1291.0,1187.0,973.0,804.0,769.0,949.0,731.0,971.0,1569.0,1042.0,1259.0,1421.0,492.0,931.0,1035.0,406.0,1170.0,3786.0,984.0,795.0,554.0,810.0,2557.0,1143.0,1046.0,762.0,1140.0,1213.0,599.0,1072.0,1005.0,578.0
associacao,10567.0,5999.0,5676.0,5256.0,5361.0,5062.0,5295.0,5085.0,5124.0,5057.0,5059.0,5063.0,5117.0,5314.0,5259.0,7928.0,7622.0,5252.0,8205.0,7953.0,3768.0,4514.0,3766.0,2471.0,3722.0,3682.0,8035.0,5531.0,4517.0,7259.0,3238.0,1746.0,4223.0,5898.0,3337.0,2774.0,4050.0,17985.0,4085.0,1827.0,3920.0,23381.0,1675.0,3394.0,509.0,2096.0,1269.0,1386.0,1753.0,1723.0,3244.0,3821.0,7419.0,3533.0,2610.0,6006.0,7880.0,4174.0,4099.0,751.0,7861.0,1444.0,634.0,1629.0,1167.0,3148.0,739.0,6250.0,2234.0,1481.0,1400.0,1368.0,2736.0,1826.0,3270.0,1929.0,6502.0,2621.0,529.0,5778.0,265.0,414.0,1409.0,1344.0,846.0,619.0,1625.0,415.0,2228.0,6118.0,911.0,1493.0,662.0,1663.0,1072.0,433.0,835.0,1164.0,4112.0,1061.0,1054.0,2157.0,1930.0,2212.0,2655.0,791.0,1790.0,2106.0,444.0,178.0,1561.0,907.0,1036.0,838.0,2110.0,1265.0,767.0,792.0,879.0,572.0,454.0,1120.0,1430.0,1168.0,1319.0,700.0,568.0,460.0,1659.0,943.0,2304.0,684.0,1892.0,53.0,1625.0,2546.0,143.0,1759.0,2061.0,1032.0,531.0,2282.0,1753.0,436.0,1275.0,1201.0,236.0,886.0,634.0,1382.0
ja,6959.0,9100.0,5956.0,5596.0,5521.0,5555.0,5658.0,5603.0,5716.0,5467.0,5435.0,5411.0,5353.0,5389.0,5359.0,3985.0,4085.0,2134.0,2486.0,2570.0,3506.0,2735.0,3600.0,4486.0,2863.0,2874.0,2059.0,2920.0,3530.0,1432.0,2519.0,2392.0,933.0,1013.0,1783.0,1598.0,1492.0,1496.0,2484.0,3916.0,2021.0,1675.0,23287.0,979.0,4469.0,1557.0,3003.0,1802.0,1388.0,986.0,1782.0,2534.0,1753.0,998.0,1993.0,663.0,685.0,1381.0,856.0,2011.0,602.0,2178.0,1298.0,2795.0,2060.0,669.0,3660.0,613.0,865.0,2760.0,653.0,837.0,643.0,245.0,1022.0,2301.0,369.0,593.0,2376.0,1138.0,1525.0,2596.0,1041.0,1003.0,2236.0,1459.0,671.0,2527.0,1621.0,522.0,2370.0,2084.0,1259.0,1374.0,2256.0,760.0,955.0,908.0,678.0,2620.0,1376.0,585.0,565.0,103.0,1364.0,1845.0,777.0,1229.0,612.0,1066.0,1747.0,778.0,1049.0,576.0,1697.0,1207.0,1882.0,775.0,794.0,2402.0,1782.0,1522.0,1059.0,607.0,300.0,701.0,879.0,1395.0,1266.0,435.0,985.0,887.0,600.0,2056.0,1914.0,291.0,1323.0,330.0,1319.0,455.0,282.0,742.0,1259.0,1152.0,716.0,803.0,1280.0,739.0,1299.0,873.0
lei,14286.0,5779.0,6313.0,5856.0,5642.0,5796.0,5995.0,5909.0,6058.0,5726.0,5675.0,5631.0,5537.0,5492.0,5500.0,14303.0,7360.0,12959.0,6689.0,7054.0,2512.0,6534.0,3045.0,2729.0,2864.0,2898.0,6757.0,3478.0,2391.0,4421.0,4226.0,2546.0,9180.0,4158.0,4967.0,2193.0,7666.0,3444.0,1546.0,750.0,6151.0,3394.0,979.0,23253.0,1840.0,3242.0,1434.0,628.0,2225.0,1779.0,1712.0,372.0,2818.0,7094.0,3181.0,5795.0,8249.0,1223.0,5328.0,3091.0,7953.0,845.0,1777.0,2062.0,1158.0,4439.0,88.0,5648.0,1026.0,1709.0,2463.0,1476.0,7954.0,1219.0,1410.0,2049.0,3337.0,4029.0,281.0,3604.0,2158.0,1096.0,2128.0,816.0,379.0,825.0,1284.0,1106.0,1691.0,3316.0,1266.0,1133.0,823.0,472.0,802.0,1092.0,987.0,1089.0,4777.0,1243.0,743.0,2866.0,4400.0,4559.0,1245.0,512.0,945.0,1149.0,954.0,1369.0,601.0,1198.0,1389.0,622.0,1392.0,814.0,174.0,1006.0,707.0,1240.0,346.0,197.0,663.0,503.0,1191.0,1143.0,2808.0,1188.0,699.0,805.0,1682.0,953.0,512.0,1012.0,1461.0,2927.0,1597.0,322.0,403.0,1243.0,2832.0,833.0,795.0,1024.0,696.0,1364.0,103.0,781.0,435.0,2337.0
foram,7168.0,6050.0,6177.0,6227.0,5918.0,6141.0,5938.0,5891.0,5986.0,5777.0,5754.0,5734.0,5686.0,5819.0,5732.0,3052.0,4637.0,2790.0,2261.0,2314.0,2937.0,3815.0,3027.0,3443.0,3011.0,3005.0,1879.0,3833.0,3830.0,782.0,1641.0,2130.0,1125.0,963.0,2696.0,1140.0,2603.0,497.0,2701.0,5120.0,2057.0,509.0,4469.0,1840.0,23029.0,1824.0,2927.0,1589.0,1816.0,1889.0,1845.0,2208.0,885.0,2445.0,1431.0,515.0,733.0,1929.0,1588.0,2168.0,689.0,1525.0,821.0,2024.0,2104.0,1010.0,5175.0,457.0,2421.0,1262.0,1138.0,1511.0,413.0,642.0,1068.0,1273.0,390.0,77.0,3688.0,408.0,722.0,981.0,899.0,1174.0,3292.0,1062.0,1194.0,855.0,1420.0,374.0,1611.0,1389.0,2085.0,1270.0,2005.0,1126.0,800.0,657.0,1003.0,1853.0,1047.0,903.0,2190.0,1048.0,1093.0,2544.0,959.0,1743.0,365.0,1135.0,965.0,274.0,2007.0,421.0,2118.0,1359.0,1296.0,722.0,212.0,3069.0,1614.0,1836.0,823.0,1342.0,563.0,480.0,1012.0,773.0,994.0,423.0,438.0,1078.0,597.0,2803.0,1562.0,923.0,406.0,654.0,929.0,804.0,365.0,591.0,725.0,391.0,742.0,663.0,1537.0,542.0,625.0,387.0
